word,dialect,phonetic,mandarin,usage,english,iid
 ,热头,lì toū,太阳,～下山了,sun,0001
 ,月亮,wèn līn,月亮,～出来了,moon,0002
 ,星子,xió lē,星星,,star,0003
,云,án,云,,cloud,0004
,风,fián,风,,wind,0005
 ,台风,tiá fiān,台风,,typhoon,0006
  ,龙打水,lín dā suaī,闪电,名词,lightning,0007
,雷,lé,雷,,thunder,0008
,雨,wū,雨,,rain,0009
 ,落雨,lè wū,下雨,,raining,0010
,涿,cuā,淋,衣服被雨～湿了,get wet by the rain,0011
,晒,sā,晒,～粮食,solarize,0012
,雪,suǐ,雪,,snow,0013
 ,构子,goǔ lē,冰,,ice,0014
 ,雹子,più lè,冰雹,,hail,0015
,霜,sén,霜,,frost,0016
 ,雾子,wù lè,雾,,fog,0017
 ,露水,lǒ suaī,露,,dew,0018
,虹,gēn,虹,统称,rainbow,0019
    ,天狗食日头,tán goū zì lì toū,日食,,solar eclipse,0020
    ,天狗食月亮,tán goū zì wèn līn,月食,,lunar eclipse,0021
 ,天气,tán cī,天气,,weather,0022
,晴,qió,晴,天～,sunny,0023
,阴,yán,阴,天～,cloudy,0024
 ,天干,tán gín,旱,天～,drought,0025
 ,天亮,tán lìn,天亮,,daybreak,0027
,田,tán,水田,,paddy field,0028
,地,taì,旱地,浇不上水的耕地,dry land,0029
   ,垦头高头,yán toū gié toū,田埂,,balk,0030
,路,lǒ suaī,路,野外的,field road,0031
,山,xié,山,,mountain,0032
 ,累冲,laī cēn,山谷,,valley,0033
,河,há,江,大的河,river,0034
  ,累冲水,laī cēn suaī,溪,小的河,stream,0035
,沟,goú,水沟儿,较小的水道,ditch,0036
,塘,tén,池塘,,pond,0038
 ,氹牯,tiān gō,水坑儿,地面上有积水的小洼儿,puddle,0039
 ,洪水,hín suaī,洪水,,flood,0040
,浸,caì,淹,被水～了,flooded,0041
   ,河公坪子,há gān pió lē,河岸,,river bank,0042
,坝,bá,坝,拦河修筑拦水的,dam,0043
 ,穴牯,fà gō,窟窿,小的,small hole,0045
 ,裂缝,liǎ fiàn,缝儿,统称,slit,0046
  ,马路牯,mō lò gō,石头,统称,stone,0047
,土,tō,土,统称,earth,0048
  ,泥巴巴,lí bā bā,泥,湿的,mud,0049
 ,水泥,suaī lī,水泥,旧称,cement,0050
 ,沙子,só lē,沙子,,sand,0051
,砖,zuán,砖,整块的,brick,0052
,瓦,ō,瓦,整块的,tile,0053
,煤,mé,煤,,coal,0054
 ,煤油,mé yōu,煤油,,kerosene,0055
,炭,tiē,炭,木炭,charcoal,0056
,灰,fé,灰,烧成的,ash,0973
 ,灰尘,fé cān,灰尘,桌面上的,dust,0058
,火,fū,火,,fire,0059
 ,烟子,lín lē,烟,烧火形成的,smoke,0060
 ,起火,sī fū,失火,,catch fire,0061
,水,suaī,水,,water,0062
 ,冷水,liō suaī,凉水,,cold water,0063
 ,热水,lǒ suaī,热水,如洗脸的热水，不是指喝的开水,hot water,0064
 ,滚水,guān suaī,开水,喝的,boiled water,0065
 ,黏铁,liǒ tī,磁铁,,magnet,0066
 ,时候,sí hoū,时候,吃饭的～,time,0067
   ,哪东时候,lè diān sí hoū,什么时候,,when,0068
 ,盖哩,gē lē,现在,,now,0069
 ,那刻,lā kiē,以前,十年～,ago,0070
 ,以后,zī hoū,以后,十年～,later,0071
  ,一世人,zī sī ēng,一辈子,,a whole life,0072
 ,即年,zí lān,今年,,this year,0073
 ,龙=年,lán lān,明年,,next year,0074
 ,后年,hoū lān,后年,,the year after next,0075
 ,旧年,qiù lān,去年,,last year,0076
 ,前年,zán lān,前年,,the year before last,0077
  ,前几年,tán zī lán,往年,过去的年份,former years,0078
 ,新年,xián lān,年初,,the beginning of the year,0079
  ,老年子,liē lán dē,年底,,the end of the year,0080
 ,即工,jiǎ gān,今天,,today,0081
 ,#2工,taí gān,明天,,tomorrow,0082
  ,下哺工,hō bū gān,后天,,the day after tomorrow,0083
   ,再下哺工,jiā hō bū gān,大后天,,three days from now,0084
 ,昨工,cò gān,昨天,,yesterday,0085
  ,前哺工,cán bū gān,前天,,the day before yesterday,0086
   ,先前哺工,sán cán bū gān,大前天,,three days ago,0087
    ,一工扎实的,zī gán zǎ sì gè,整天,,all day,0088
  ,样=工的,yìn gān dē,每天,,everyday,0089
 ,早饭,jiē mā,早晨,,early morning,0090
 ,上头,sèn toù,上午,,morning,0091
 ,斗=食,doū zī,中午,,noon,0092
 ,晚下,miē hō,下午,,afternoon,0093
 ,煞黑,sǎ hě,傍晚,,evening,0094
 ,#3#4,pià làn,白天,,daytime,0095
